Duration Hours,Miles Flown #,Mission Date,Year,Month,Mission,Shuttle,Crash or Not,Final or Not
54,0.9,4/12/81,1981,4,STS-1,Columbia,,
54,0.9,11/12/81,1981,11,STS-2,Columbia,,
192,3.9,3/22/82,1982,3,STS-3,Columbia,,
169,2.9,6/27/82,1982,6,STS-4,Columbia,,
122,1.9,11/11/82,1982,11,STS-5,Columbia,,
120,1.8,4/4/83,1983,4,STS-6,Challenger,,
146,2.2,6/18/83,1983,6,STS-7,Challenger,,
145,2.2,8/30/83,1983,8,STS-8,Challenger,,
247,3.3,11/28/83,1983,11,STS-9,Columbia,,
191,2.9,2/3/84,1984,2,STS-41-B,Challenger,,
167,2.9,4/6/84,1984,4,STS-41-C,Challenger,,
144,2.2,8/30/84,1984,8,STS-41-D,Discovery,,
197,3.4,10/5/84,1984,10,STS-41-G,Challenger,,
191,2.9,11/8/84,1984,11,STS-51-A,Discovery,,
73,1.2,1/24/85,1985,1,STS-51-C,Discovery,,
167,2.5,4/12/85,1985,4,STS-51-D,Discovery,,
168,2.9,4/29/85,1985,4,STS-51-B,Challenger,,
169,2.5,6/17/85,1985,6,STS-51-G,Discovery,,
190,2.9,7/29/85,1985,7,STS-51-F,Challenger,,
170,2.5,8/27/85,1985,8,STS-51-I,Discovery,,
97,1.7,10/3/85,1985,10,STS-51-J,Atlantis,,
168,2.5,10/30/85,1985,10,STS-61-A,Challenger,,
165,2.5,11/26/85,1985,11,STS-61-B,Atlantis,,
146,2.2,1/12/86,1986,1,STS-61-C,Columbia,,
0,0,1/28/86,1986,1,STS-51-L,Challenger,,
97,1.4,9/29/88,1988,9,STS-26,Discovery,,
105,1.8,12/2/88,1988,12,STS-27,Atlantis,,
119,1.8,3/13/89,1989,3,STS-29,Discovery,,
96,1.5,5/4/89,1989,5,STS-30,Atlantis,,
121,2.1,8/8/89,1989,8,STS-28,Columbia,,
119,1.8,10/18/89,1989,10,STS-34,Atlantis,,
120,2,11/22/89,1989,11,STS-33,Discovery,,
261,4.5,1/9/90,1990,1,STS-32,Columbia,,
106,1.8,2/28/90,1990,2,STS-36,Atlantis,,
121,2.1,4/24/90,1990,4,STS-31,Discovery,,
98,1.7,10/6/90,1990,10,STS-41,Discovery,,
117,2,11/15/90,1990,11,STS-38,Atlantis,,
215,3.7,12/2/90,1990,12,STS-35,Columbia,,
143,2.5,4/5/91,1991,4,STS-37,Atlantis,,
199,3.5,4/28/91,1991,4,STS-39,Discovery,,
218,3.3,6/5/91,1991,6,STS-40,Columbia,,
213,3.7,8/2/91,1991,8,STS-43,Atlantis,,
128,2.2,9/12/91,1991,9,STS-48,Discovery,,
166,2.9,11/24/91,1991,11,STS-44,Atlantis,,
193,3.3,1/22/92,1992,1,STS-42,Discovery,,
214,3.3,3/24/92,1992,3,STS-45,Atlantis,,
213,4,5/7/92,1992,5,STS-49,Endeavour,,
331,5.8,6/25/92,1992,6,STS-50,Columbia,,
191,3.3,7/31/92,1992,7,STS-46,Atlantis,,
190,3.3,9/12/92,1992,9,STS-47,Endeavour,,
236,4.1,10/22/92,1992,10,STS-52,Columbia,,
175,3,12/2/92,1992,12,STS-53,Discovery,,
143,2.5,1/13/93,1993,1,STS-54,Endeavour,,
222,3.9,4/8/93,1993,4,STS-56,Discovery,,
239,4.2,4/26/93,1993,4,STS-55,Columbia,,
239,4.1,6/21/93,1993,6,STS-57,Endeavour,,
236,4.1,9/12/93,1993,9,STS-51,Discovery,,
336,5.8,10/18/93,1993,10,STS-58,Columbia,,
259,4.4,12/2/93,1993,12,STS-61,Endeavour,,
174,3.4,2/3/94,1994,2,STS-60,Discovery,,
335,5.8,3/4/94,1994,3,STS-62,Columbia,,
269,4.7,4/9/94,1994,4,STS-59,Endeavour,,
353,6.1,7/8/94,1994,7,STS-65,Columbia,,
262,4.6,9/9/94,1994,9,STS-64,Discovery,,
269,4.7,9/30/94,1994,9,STS-68,Endeavour,,
262,4.6,11/3/94,1994,11,STS-66,Atlantis,,
198,3,2/3/95,1995,2,STS-63,Discovery,,
399,6.9,3/2/95,1995,3,STS-67,Endeavour,,
235,4.1,6/27/95,1995,6,STS-71,Atlantis,,
214,3.7,7/13/95,1995,7,STS-70,Discovery,,
260,4.5,9/7/95,1995,9,STS-69,Endeavour,,
381,6.6,10/20/95,1995,10,STS-73,Columbia,,
196,3.4,11/12/95,1995,11,STS-74,Atlantis,,
214,3.7,1/11/96,1996,1,STS-72,Endeavour,,
377,6.5,2/22/96,1996,2,STS-75,Columbia,,
221,3.8,3/22/96,1996,3,STS-76,Atlantis,,
240,4.1,5/19/96,1996,5,STS-77,Endeavour,,
405,7,6/20/96,1996,6,STS-78,Columbia,,
243,3.9,9/16/96,1996,9,STS-79,Atlantis,,
423,7,11/19/96,1996,11,STS-80,Columbia,,
244,3.9,1/12/97,1997,1,STS-81,Atlantis,,
239,3.8,2/11/97,1997,2,STS-82,Discovery,,
95,1.5,4/4/97,1997,4,STS-83,Columbia,,
221,3.6,5/15/97,1997,5,STS-84,Atlantis,,
376,6.2,7/1/97,1997,7,STS-94,Columbia,,
284,4.7,8/7/97,1997,8,STS-85,Discovery,,
259,4.2,9/25/97,1997,9,STS-86,Atlantis,,
376,6.5,11/19/97,1997,11,STS-87,Columbia,,
211,3.6,1/22/98,1998,1,STS-89,Endeavour,,
381,6.4,4/17/98,1998,4,STS-90,Columbia,,
235,3.8,6/2/98,1998,6,STS-91,Discovery,,
213,3.6,10/29/98,1998,10,STS-95,Discovery,,
283,4.7,12/4/98,1998,12,STS-88,Endeavour,,
235,4.1,5/27/99,1999,5,STS-96,Discovery,,
118,1.8,7/23/99,1999,7,STS-93,Columbia,,
191,3.3,12/19/99,1999,12,STS-103,Discovery,,
269,4.7,2/11/00,2000,2,STS-99,Endeavour,,
237,5.1,5/19/00,2000,5,STS-101,Atlantis,,
283,4.9,9/8/00,2000,9,STS-106,Atlantis,,
309,5.3,10/11/00,2000,10,STS-92,Discovery,,
259,4.5,11/30/00,2000,11,STS-97,Endeavour,,
309,5.4,2/7/01,2001,2,STS-98,Atlantis,,
307,5.4,3/8/01,2001,3,STS-102,Discovery,,
285,4.9,4/19/01,2001,4,STS-100,Endeavour,,
306,5.3,7/12/01,2001,7,STS-104,Atlantis,,
285,4.9,8/10/01,2001,8,STS-105,Discovery,,
283,4.8,12/5/01,2001,12,STS-108,Endeavour,,
262,3.9,3/1/02,2002,3,STS-109,Columbia,,
259,4.5,4/8/02,2002,4,STS-110,Atlantis,,
332,5.8,6/5/02,2002,6,STS-111,Endeavour,,
259,4.5,10/7/02,2002,10,STS-112,Atlantis,,
330,5.7,11/23/02,2002,11,STS-113,Endeavour,,
382,6.6,1/16/03,2003,1,STS-107,Columbia,,
333,5.8,7/26/05,2005,7,STS-114,Discovery,,
306,5.3,7/4/06,2006,7,STS-121,Discovery,,
283,4.9,9/9/06,2006,9,STS-115,Atlantis,,
309,5.3,12/9/06,2006,12,STS-116,Discovery,,
332,5.8,6/8/07,2007,6,STS-117,Atlantis,,
306,5.3,8/8/07,2007,8,STS-118,Endeavour,,
362,6.2,10/23/07,2007,10,STS-120,Discovery,,
306,5.3,2/7/08,2008,2,STS-122,Atlantis,,
378,6.6,3/11/08,2008,3,STS-123,Endeavour,,
330,5.7,5/31/08,2008,5,STS-124,Discovery,,
380,6.6,11/14/08,2008,11,STS-126,Endeavour,,
307,5.3,3/15/09,2009,3,STS-119,Discovery,,
309,5.3,5/11/09,2009,5,STS-125,Atlantis,,
376,6.5,7/15/09,2009,7,STS-127,Endeavour,,
333,5.7,8/28/09,2009,8,STS-128,Discovery,,
259,4.5,11/16/09,2009,11,STS-129,Atlantis,,
330,5.7,2/8/10,2010,2,STS-130,Endeavour,,
363,6.2,4/5/10,2010,4,STS-131,Discovery,,
282,4.9,5/14/10,2010,5,STS-132,Atlantis,,
307,5.3,2/24/11,2011,2,STS-133,Discovery,,
378,6.5,5/16/11,2011,5,STS-134,Endeavour,,
306,5.3,7/8/11,2011,7,STS-135,Atlantis,,